store_name,category,category_link,image_link
Al Douri Abu Baker,Beverages & Confectionary,https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/851/medium/Beverages___Confectionary.jpg?1586947695
Al Douri Abu Baker,Nuts,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/914/medium/CatBan_300x180_0421_nuts.jpg?1587497663
Al Douri Abu Baker,Deli,https://www.elgrocer.com/store/al-douri-abu-baker/deli-1904,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/904/medium/CatBan_300x180_0421_Deli.jpg?1587500044
Al Douri Abu Baker,Condiments,https://www.elgrocer.com/store/al-douri-abu-baker/condiments-1849,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/849/medium/Condiments.jpg?1586947674
Al Douri Abu Baker,Oils,https://www.elgrocer.com/store/al-douri-abu-baker/oils,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/844/medium/Oils.jpg?1586947628
Al Douri Abu Baker,Dairy,https://www.elgrocer.com/store/al-douri-abu-baker/dairy-1901,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/901/medium/CatBan_300x180_0421_Dairy.jpg?1587497924
Al Douri Abu Baker,Snacks,https://www.elgrocer.com/store/al-douri-abu-baker/snacks-1908,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/908/medium/CatBan_300x180_0421_Snacks.jpg?1587498019
Al Douri Abu Baker,Spreads & Jam,https://www.elgrocer.com/store/al-douri-abu-baker/spreads-jam,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/846/medium/Spreads___Jam.jpg?1586947658
Al Douri Abu Baker,Dried Items,https://www.elgrocer.com/store/al-douri-abu-baker/dried-items,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/919/medium/CatBan_300x180_0421_Dried.jpg?1587497975
Al Douri Abu Baker,Canned Food,https://www.elgrocer.com/store/al-douri-abu-baker/canned-food,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/854/medium/Canned_Food.jpg?1586947710
Al Douri Abu Baker,Butchery,https://www.elgrocer.com/store/al-douri-abu-baker/butchery-1899,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/899/medium/Butchery.jpg?1587185461
Al Douri Abu Baker,Home & Kitchen,https://www.elgrocer.com/store/al-douri-abu-baker/home-kitchen,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/001/842/medium/Home_Care.jpg?1586947587
Al Douri Abu Baker,Arabian Sweets,https://www.elgrocer.com/store/al-douri-abu-baker/barazek,https://api.elgrocer.com/images/medium/missing.png
Union Coop - Abu Hail,Fruits & Vegetables,https://www.elgrocer.com/store/union-coop-abu-hail/fruits-vegetables,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/093/medium/Fruits-_-Vegetables.png?1531409834
Union Coop - Abu Hail,Meats & Seafood,https://www.elgrocer.com/store/union-coop-abu-hail/meats-seafood,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/383/medium/meat_300x180.png?1604869499
Union Coop - Abu Hail,Snacks,https://www.elgrocer.com/store/union-coop-abu-hail/snacks,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/097/medium/CC_300x180.png?1595785041
Union Coop - Abu Hail,Baby & Kids,https://www.elgrocer.com/store/union-coop-abu-hail/baby-kids-98,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/098/medium/CatBanner_300x180-baby_0406.jpg?1586171178
Union Coop - Abu Hail,Beverages,https://www.elgrocer.com/store/union-coop-abu-hail/beverages,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/090/medium/catBanner_300x180.png?1595275332
Union Coop - Abu Hail,Dairy & Eggs,https://www.elgrocer.com/store/union-coop-abu-hail/dairy-eggs,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/100/medium/dairy_300x180.jpg?1591212471
Union Coop - Abu Hail,Deli,https://www.elgrocer.com/store/union-coop-abu-hail/deli-676,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/676/medium/8.jpg?1542789768
Union Coop - Abu Hail,Bakery,https://www.elgrocer.com/store/union-coop-abu-hail/bakery,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/102/medium/Bread_300x180.png?1596472995
Union Coop - Abu Hail,Home Care,https://www.elgrocer.com/store/union-coop-abu-hail/home-care,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/091/medium/CatBanner_300x180-HC_%281%29.jpg?1583753018
Union Coop - Abu Hail,Laundry,https://www.elgrocer.com/store/union-coop-abu-hail/laundry,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/479/medium/CatBanner_0317.jpg?1584471368
Union Coop - Abu Hail,Beauty & Personal Care,https://www.elgrocer.com/store/union-coop-abu-hail/beauty-personal-care,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/104/medium/girly_300x180.jpg?1591212638
Union Coop - Abu Hail,Health & Wellness,https://www.elgrocer.com/store/union-coop-abu-hail/health-wellness,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/003/493/medium/cat_image_1.jpg?1610174035
Union Coop - Abu Hail,Pasta & Rice,https://www.elgrocer.com/store/union-coop-abu-hail/pasta-rice,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/094/medium/Pasta-_-Rice2.png?1531410405
Union Coop - Abu Hail,"Cereals, Jams & Spreads",https://www.elgrocer.com/store/union-coop-abu-hail/cereals-jams-spreads,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/101/medium/Nutella_300x180.png?1591211408
Union Coop - Abu Hail,Frozen Foods,https://www.elgrocer.com/store/union-coop-abu-hail/frozen-foods,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/389/medium/CatBanners_300x180.jpg?1587402506
Union Coop - Abu Hail,Sauces & Dressings,https://www.elgrocer.com/store/union-coop-abu-hail/sauces-dressings,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/092/medium/Sauces-_-Dressings.jpg?1540370111
Union Coop - Abu Hail,Condiments,https://www.elgrocer.com/store/union-coop-abu-hail/condiments,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/103/medium/Condiments.jpg?1562617658
Union Coop - Abu Hail,Cans & Jars,https://www.elgrocer.com/store/union-coop-abu-hail/canned,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/099/medium/Canned.jpg?1570252586
Union Coop - Abu Hail,Soups & Oil,https://www.elgrocer.com/store/union-coop-abu-hail/soups-oil,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/095/medium/Soups___Oil_Category.jpg?1567516764
Union Coop - Abu Hail,Home Baking,https://www.elgrocer.com/store/union-coop-abu-hail/home-baking-2063,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/002/063/medium/CatBanner_300x180_%281%29.jpg?1590517937
Union Coop - Abu Hail,Organic,https://www.elgrocer.com/store/union-coop-abu-hail/organic,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/457/medium/Organic.jpg?1554742570
Union Coop - Abu Hail,Pet Supplies,https://www.elgrocer.com/store/union-coop-abu-hail/pet-supplies,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/236/medium/Pet-Care.png?1531410857
Union Coop - Abu Hail,Homeware,https://www.elgrocer.com/store/union-coop-abu-hail/homeware-3269,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/003/269/medium/Untitled-7.jpg?1607012979
Union Coop - Abu Hail,Kitchenware,https://www.elgrocer.com/store/union-coop-abu-hail/kitchenware,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/003/182/medium/kitchen.jpg?1606418824
Union Coop - Abu Hail,Dining,https://www.elgrocer.com/store/union-coop-abu-hail/dining,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/003/177/medium/Dining.jpg?1606418870
Union Coop - Abu Hail,Small Appliances,https://www.elgrocer.com/store/union-coop-abu-hail/small-appliances,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/003/280/medium/small_appliances.jpg?1607013097
Union Coop - Abu Hail,Sports & Fitness,https://www.elgrocer.com/store/union-coop-abu-hail/sports-fitness,https://api.elgrocer.com/images/medium/missing.png
Union Coop - Abu Hail,Stationery and Misc,https://www.elgrocer.com/store/union-coop-abu-hail/Astationery-and-misc,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/263/medium/Stationery-_-Misc1.png?1531410924
Union Coop - Abu Hail,Euromercato,https://www.elgrocer.com/store/union-coop-abu-hail/euromercato,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/744/medium/Banner_300x180.jpg?1587476235
Union Coop - Abu Hail,Food To Go,https://www.elgrocer.com/store/union-coop-abu-hail/food-to-go,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/253/medium/Fresh-to-go1.png?1531411044
Union Coop - Abu Hail,Electronics,https://www.elgrocer.com/store/union-coop-abu-hail/electronics,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/802/medium/Elect.jpg?1539854155
Union Coop - Abu Hail,Premium Perfumes,https://www.elgrocer.com/store/union-coop-abu-hail/premium-perfumes,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/801/medium/Perfume.jpg?1539853310
Union Coop - Abu Hail,Prepaid Cards,https://www.elgrocer.com/store/union-coop-abu-hail/prepaid-cards-218,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/218/medium/14._Recharge_Cards.jpg?1478508584
Union Coop - Abu Hail,Garden,https://www.elgrocer.com/store/union-coop-abu-hail/garden,https://api.elgrocer.com/images/medium/missing.png
Union Coop - Abu Hail,Camping & Outdoor,https://www.elgrocer.com/store/union-coop-abu-hail/camping-outdoor,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/003/312/medium/cat_img.jpg?1607008573
Union Coop - Al Wasl,Fruits & Vegetables,https://www.elgrocer.com/store/union-coop-al-wasl/fruits-vegetables,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/093/medium/Fruits-_-Vegetables.png?1531409834
Union Coop - Al Wasl,Meats & Seafood,https://www.elgrocer.com/store/union-coop-al-wasl/meats-seafood,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/383/medium/meat_300x180.png?1604869499
Union Coop - Al Wasl,Snacks,https://www.elgrocer.com/store/union-coop-al-wasl/snacks,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/097/medium/CC_300x180.png?1595785041
Union Coop - Al Wasl,Baby & Kids,https://www.elgrocer.com/store/union-coop-al-wasl/baby-kids-98,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/categories/logos/000/000/098/medium/CatBanner_300x180-baby_0406.jpg?1586171178
