subcategory_link,item,weight,price,item_image_link
https://www.elgrocer.com/store/test-darkstore-inventory-limit/beverages/juices,Al Rawabi Fresh & Natural Lemon Juice,200ml,AED 8.90 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/007/279/medium/0086077.png?1439924938
https://www.elgrocer.com/store/test-darkstore-inventory-limit/beverages/juices,Lacnor 100% Apple Juice,8x180ml,AED 11.50 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/005/277/medium/8x180ml_100_Leaf_Apple_Juice_Shrink.png?1635817653
https://www.elgrocer.com/store/test-darkstore-inventory-limit/beverages/juices,Lacnor 100% Pineapple Juice,8x180ml,AED 28.95 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/005/275/medium/8x180ml_100_Leaf_Pineapple_Juice_Shrink.png?1635817707
https://www.elgrocer.com/store/test-darkstore-inventory-limit/beverages/juices,Lacnor 100% Orange Juice,8x180ml,AED 11.50 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/005/239/medium/8x180ml_100_Leaf_Orange_Juice_Shrink.png?1635817789
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Chips Oman Chilli Chips,15g,AED 0.58 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/035/963/medium/9501100014122.jpg?1514670390
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Oriental Super Rings Cheese,14g,AED 0.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/038/887/medium/9556023118013.jpg?1514670651
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Mr. Krisps Potato Chips Pizza Flavor,15g,AED 0.65 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/065/758/medium/6291028140067.jpg?1543931105
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Papy Snacks Red,15g,AED 0.63 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/113/171/medium/papy.png?1643058448
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Chips Oman Salad Chips,15g,AED 0.58 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/035/983/medium/9501100015228.jpg?1512023548
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Emirates Pofaki Crisps,12g,AED 0.55 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/027/362/medium/6291028100016.jpg?1542137677
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Chips Oman Crispy Chips,25x15g,AED 11.03 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/051/730/medium/9501100019028.jpg?1528905341
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Cheetos Crunchy Flamin Hot,25g,AED 1.31 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/038/760/medium/6281036014030.PNG?1514670419
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Doritos Sweet Chilli,23g,AED 1.05 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/046/516/medium/6281036560209.jpg?1617211207
https://www.elgrocer.com/store/ajman-coop-jurf-329/snacks/chips,Chips Oman Sohar Chips,15g,AED 0.58 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/036/018/medium/9501100014627.jpg?1512053762
