subcategory,subcategory_link,category_link
Fresh Fruits,https://www.elgrocer.com/store/talha-supermarket/fruits-vegetables/fresh-fruits,https://www.elgrocer.com/store/talha-supermarket/fruits-vegetables
Fresh Vegetables,https://www.elgrocer.com/store/talha-supermarket/fruits-vegetables/fresh-vegetables,https://www.elgrocer.com/store/talha-supermarket/fruits-vegetables
Confectionery,https://www.elgrocer.com/store/al-rifai-roastery-fujairah-city-center/snacks-2225/confectionery,https://www.elgrocer.com/store/al-rifai-roastery-fujairah-city-center/snacks-2225
Arabic sweets,https://www.elgrocer.com/store/al-rifai-roastery-fujairah-city-center/snacks-2225/arabic-sweets,https://www.elgrocer.com/store/al-rifai-roastery-fujairah-city-center/snacks-2225
Bread Crumbs,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/bread-crumbs,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
Cake Mix,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/cake-mix,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
"Waffle,Bread & Cookies Mix",https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/waffle-bread-cookies-mix,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
Baking Ingredients,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/baking-ingredients-2071,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
Dessert,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/dessert-2074,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
Flour,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/flour-2068,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
Jelly,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/jelly,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
Baking Soda,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/baking-soda,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
Food Essence,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063/food-essence,https://www.elgrocer.com/store/ajman-coop-jurf-329/home-baking-2063
