subcategory_link,item,weight,price,item_image_link
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852,Al Douri Yerba Mate Pipore Green,250g,AED 5.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/027/medium/7793750000309.png?1587228566
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852,Al Douri Yerba Mate Kharta Green,250g,AED 7.00 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/025/medium/6217000144045.png?1587228560
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852,Al Douri Yerba Mate Khartha White,250g,AED 7.50 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/024/medium/6217000144021.jpg?1587228558
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852,Al Douri Arabic Coffee Liquid,1L,AED 15.00 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/023/medium/6294441113069.png?1587228551
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852,Al Douri Coffee Lebanese Blend,250g,AED 17.50 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/016/medium/6294004119262.png?1587228532
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852,Al Douri Coffee Lebanese Blend,450g,AED 31.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/015/medium/6294004119286.png?1587228534
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852,Al Douri Coffee Signature Blend,100g,AED 7.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/014/medium/6294004118968.png?1587228526
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852,Al Douri Coffee Signature Blend,250g,AED 19.95 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/013/medium/6294004118999.png?1587228527
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/chocolates-1853,Al Douri Turkish Coffee With Cardamom,250g,AED 15.25 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/147/611/medium/2770010000000.jpg?1587228520
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/chocolates-1853,Al Douri Turkish Coffee With Extra Cardamom,250g,AED 18.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/147/609/medium/2770010000000.jpg?1587228518
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/chocolates-1853,Al Douri Assorted Chocolate,250g,AED 21.24 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/147/587/medium/2330720000000.jpg?1587228234
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/chocolates-1853,Al Douri American Red Gum,500g,AED 18.38 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/146/077/medium/2330590000000.jpg?1587228244
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/juices-2488,Sour Grape Juice,500ml,AED 16.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/313/682/medium/PhotoRoom_20201002_192334_large.jpg?1626230807
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/soft-drinks-2491,Coca-Cola Regular Can,300ml,AED 1.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/054/795/medium/90338052.jpg?1587066020
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/soft-drinks-2491,Mirinda Orange Nrb,250ml,AED 3.00 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/166/310/medium/12000802805.jpg?1593007017
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/water-2492,Aquafina Water,12x500ml,AED 1.00 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/103/921/medium/12000014338.jpg?1572364652
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/water-2492,Aquafina Water,1.5L,AED 1.50 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/035/953/medium/0012000002090.jpg?1577780989
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/almonds,Al Douri Almond Plain,250g,AED 13.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/977/medium/2220210000000.png?1587228003
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/almonds,Al Douri Almond Without Skin Split,250g,AED 14.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/147/570/medium/Almonds-Blanched-Splits.jpg?1587494994
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/almonds,Al Douri Almond Without Skin Whole,250g,AED 14.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/147/549/medium/2222460000000.jpg?1587228031
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/almonds,Al Douri Almond Stick USA,250g,AED 14.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/975/medium/2223230000000.png?1587228024
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/almonds,Al Douri Almond Roasted Barbeque,250g,AED 15.69 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/972/medium/2880040000000.jpg?1587228013
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/cashew,Cashew,250g,AED 13.00 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/313/696/medium/Cashew-W240.jpeg?1626229798
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/cashew,Al Douri Cashew Cheese Roasted,250g,AED 17.99 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/966/medium/2881410000000.png?1587228139
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/cashew,Al Douri Cashew Barbeque Roasted,250g,AED 17.99 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/965/medium/Al_Douri_Cashew_Barbeque_Roasted.jpeg?1587499541
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/cashew,Al Douri Cashew Fried Salted,250g,AED 22.25 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/961/medium/2881470000000.png?1587228142
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/hazelnut,Al Douri Hazelnut Roasted,250g,AED 18.75 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/969/medium/2881140000000.png?1587228539
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/corn,Al Douri Corn Seed USA,250g,AED 7.50 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/945/medium/2220400000000.jpg?1587228253
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/corn,Al Douri Corn Roasted Ketchup,250g,AED 6.25 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/147/626/medium/2881680000000.jpg?1587228262
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/corn,Al Douri Corn Roasted Barbeque,250g,AED 7.00 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/997/medium/2881690000000.jpg?1587228268
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/corn,Al Douri Corn Roasted Cheese,250g,AED 7.00 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/145/996/medium/Corn-Nuggets-Cheese-Nutstop.jpg?1587495416
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/mixed-nuts,Al Douri Natural Mix,250g,AED 19.99 ,https://s3-eu-west-1.amazonaws.com/elgrocerstaging/products/photos/000/147/620/medium/2881330000000.jpg?1587228666
