category,brand,product,price,weight,badge,shelf_life,country,rating,num_of_reviews,recommend,ingredient,reviews,nutrition,image_link,product_link,category_link
Fresh & Chilled Food,Innocent,Innocent Kids Apples & Blackcurrants Smoothies,3.3,4 x 150ml,Suitable for vegetarians,LIFE 1w+,UK,4.6,21,96,"1 Pressed Apple (70%), 1/3 of a Mashed Banana**, 4 Pressed Grapes, 8 Squashed Blackcurrants (4%), **Rainforest Alliance Certified™",,,https://www.ocado.com/productImages/293/29362011_0_150x150.jpg?identifier=f1af203906f897696cf35f0afe1deccf,https://www.ocado.com/products/innocent-kids-apples-blackcurrants-smoothies-29362011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,DAYLESFORD ORGANIC,Daylesford Organic 10 Hour Chicken Bone Broth with Lemongrass & Red Chilli,5.25,500ml,Organic,LIFE 4d+,UK,4.2,60,77,NA,,,https://www.ocado.com/productImages/502/502753011_0_150x150.jpg?identifier=8367df4c0ec5b8be35a02cf8f9ca574a,https://www.ocado.com/products/daylesford-organic-10-hour-chicken-bone-broth-with-lemongrass-red-chilli-502753011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,M&S,M&S Celeriac,1.6,NA,Suitable for vegetarians,LIFE 3d+,NA,3.7,41,69,NA,,,https://www.ocado.com/productImages/518/518566011_0_150x150.jpg?identifier=6623b79e64c69149e5e7a7503b1108de,https://www.ocado.com/products/m-s-celeriac-518566011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,M&S,"M&S Orange, Mango & Passion Fruit Juice",1.7,1L,NA,LIFE 1w+,Spain,3.8,17,77,"Orange Juice (69%), Mango Purée (26%), Passion Fruit Juice (5%)",,,https://www.ocado.com/productImages/528/528691011_0_150x150.jpg?identifier=591c2d034d16c50c611010f19538f2be,https://www.ocado.com/products/m-s-orange-mango-passion-fruit-juice-528691011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,M&S,M&S Fully Loaded Shawarma,8.950000000000001,906g,NA,LIFE 3d+,United Kingdom,4.4,108,86,"Chicken Legs (77%), Water, Lemon and Garlic Yogurt Dressing (6%), Ground Spices (Cumin, Smoked Paprika, Cinnamon, Cayenne Pepper, Black Pepper, Star Anise, Allspice, Nutmeg, Cloves, Coriander Seeds, Ginger), Ginger Purée, Sugar, Garlic Purée, Salt, Lemon Juice, Extra Virgin Olive Oil (0.5%), Dried Garlic, Preserved Lemons (Lemon Peel, Sea Salt, Preservative: E223 (Sulphites)), Dried Herbs (Bay Leaves, Mint, Basil, Parsley), Dried Onions, Sea Salt, Black Onion Seeds, Dried Red Peppers, Dried Red Chillies, Sunflower Oil, Lemon and Garlic Yogurt Dressing contains Greek Style Yogurt (Milk), Water, Lemon Juice, Sugar, Garlic Purée, Rapeseed Oil, Cornflour, White Wine Vinegar, Lemon Zest, Salt, Parsley",,,https://www.ocado.com/productImages/552/552762011_0_150x150.jpg?identifier=be5ef782fa98186e088e7ff63c025f63,https://www.ocado.com/products/m-s-fully-loaded-shawarma-552762011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,Gosh,Gosh! Beetroot & Kale Burgers with a hint of mint.,2.5,250g,"Suitable for freezing, Suitable for vegetarians",LIFE 1w+,United Kingdom,3.9,18,78,"Chickpeas^1 (26%), Beetroot^2 (22%), Courgette (7%), Carrot (7%), Potato Flake, Kale (6%), Red Onion, Quinoa (5%), Rapeseed Oil, Mint^3, Coriander, Garlic Puree (Water, Garlic Granules), Salt, (^1,2,3 Origin: EU and non-EU)Allergen Information",,,https://www.ocado.com/productImages/551/551737011_0_150x150.jpg?identifier=fa173a44ce3f59da2e556b5ba681efc7,https://www.ocado.com/products/gosh-beetroot-kale-burgers-with-a-hint-of-mint-551737011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
"Soft Drinks, Tea & Coffee",Carte Noire,Carte Noire No 5 Decafeine Nespresso Compatible,2.79,10 per pack,"Suitable for freezing, Suitable for vegetarians",NA,NA,3.4,31,59,NA,,,https://www.ocado.com/productImages/370/370623011_0_150x150.jpg?identifier=c418fd555477851b2825011388db3cf1,https://www.ocado.com/products/carte-noire-no-5-decafeine-nespresso-compatible-370623011,https://www.ocado.com/browse/soft-drinks-tea-coffee-20977?hideOOS=true
Fresh & Chilled Food,M&S,M&S Select Farms British 10 Smoked Back Bacon Rashers,2.25,300g,Suitable for freezing,LIFE 1w+,UK,3.4,14,65,"British Pork (86%), Water (10%), Curing Salt (Salt, Preservative: Sodium Nitrite, Potassium Nitrate)",,,https://www.ocado.com/productImages/502/502801011_0_150x150.jpg?identifier=d60d489f658f934af6fcb74959074ff1,https://www.ocado.com/products/m-s-select-farms-british-10-smoked-back-bacon-rashers-502801011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,Murgella,Murgella Burrata,2.9899999999999998,120g,Suitable for vegetarians,LIFE 3d,Italy,3.3,32,57,"Pasteurized Cow's Milk, UHT Cream (min. 35%), Whey Starter Culture, Salt, Microbial Rennet",,,https://www.ocado.com/productImages/468/468879011_0_150x150.jpg?identifier=621981586a5fc1226d14028dd9ebbdf9,https://www.ocado.com/products/murgella-burrata-468879011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh & Chilled Food,Soupologie,Soupologie Super Soup Spinach & Kale with Garlic,3,600g,"Suitable for the microwave, Suitable for vegetarians",LIFE 7d+,NA,3.3,127,58,"Water, Spinach (17%), Leeks, Onions, Kale (6%), Potatoes, Rapeseed Oil, Garlic (1%), Vegetable Stock¹, Salt, Nutmeg, Black Pepper.¹Rice Flour*, Sea Salt, Maltodextrin from Maize*, Vegetables 8.3% (Onion, Carrot, Parsnip, Pumpkin)*, Yeast Extract, Sunflower Oil*, Turmeric*, Mushrooms (White Mushrooms, Shiitake)*, Parsley*, Concentrated Vegetable Juice (Onion, Carrot)*, Lovage*, Garlic*, Fennel Seeds*. *Organically grown ingredients.Allergen Information",,,https://www.ocado.com/productImages/244/244840011_0_150x150.jpg?identifier=ecf297f229c52065ebc6b22dc32352b7,https://www.ocado.com/products/soupologie-super-soup-spinach-kale-with-garlic-244840011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
