product_link,badge,ingredient,brand,country,rating,count,recommend
https://www.ocado.com/products/faith-in-nature-grapefruit-orange-shampoo-289234011,Suitable for vegetarians,"Aqua (Water)***, Ammonium Laureth Sulfate*, Maris Sal (Sea Salt), Cocamidopropyl Betaine*, Polysorbate 20*, Chamomilla Recutita (Matricaria) Flower Extract**, Citrus Aurantium Dulcis (Orange) Peel Oil**, Citrus Paradisi (Grapefruit) Peel Oil*, Camellia Sinensis Flower Extract**, Camellia Sinensis Leaf Extract**, Litsea Cubeba Fruit Oil*, Citrus Reticulata (Tangerine) Peel Oil*, Tocopherol*, Glycerin*, Helianthus Annuus (Sunflower) Seed Oil*, Citric Acid*, Sodium Benzoate, Potassium Sorbate, Citral*, Limonene*, Curcumin CI 75300*, *Plant derived, **Organic ingredient, ***Water from the Lake DistrictDietary InformationSuitable for Vegans; Not Tested on Animals",Faith In Nature,England,4.3,31,84
https://www.ocado.com/products/avalon-organics-tea-tree-scalp-treatment-shampoo-84625011,"Organic, Suitable for vegetarians","Aqua (Water), Aloe Barbadensis Leaf Juice(1), Cocamidopropyl Betaine, Sodium Laurylglucosides Hydroxypropylsulfonate, Glycerin, Sodium Cocoyl Isethionate, Stearic Acid, Sodium Lauroyl Sarcosinate, Chamomilla Recutita (Matricaria) Flower Extract(1), Citrus Medica Limonum (Lemon) Peel Extract(1), Rosmarinus Officinalis (Rosemary) Leaf Extract(1), Citrus Aurantium Dulcis (Orange) Oil, Eucalyptus Globulus Leaf Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil(1), Mentha Arvensis Leaf Oil, Mentha Piperita (Peppermint) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Arginine, Beta-Glucan, Bisabolol, Sodium Citrate, Sodium PCA, Panthenol, Tocopheryl Acetate, Guar Hydroxypropyltrimonium Chloride, Alcohol(1), Benzyl Alcohol, Potassium Sorbate, Sodium Benzoate, Limonene, Linalool.(1)Certified Organic Ingredient",Avalon,USA,3.6,20,60
https://www.ocado.com/products/garnier-ultimate-blends-nourishing-hair-food-banana-shampoo-for-dry-hair-502341011,NA,"Aqua / Water, Sodium Lauryl Sulfate, Coco-Glucoside, Coco-Betaine, Musa Paradisiaca Fruit Juice / Banana Fruit Juice, Cocos Nucifera Oil / Coconut Oil, Carbomer, Glycerin, Glyceryl Oleate, Glycol Distearate, Triethyl Citrate, Lecithin, Sodium Chloride, Sodium Hydroxide, Hydrogenated Palm Glycerides Citrate, Hydroxypropyl Guar Hydroxypropyltrimonium Chloride, Citric Acid, Lactic Acid, Tocopherol, Ascorbyl Palmitate, Potassium Sorbate, Sodium Benzoate, Salicylic Acid, Linalool, Benzyl Alcohol, Parfum / Fragrance, (F.I.L C244837/1)",Garnier,Italy,3.4,7,58
https://www.ocado.com/products/l-oreal-elvive-colour-protect-shampoo-26965011,NA,"1199588 B, Aqua / Water, Sodium Laureth Sulfate, Dimethicone, Coco-Betaine, Sodium Chloride, Glycol Distearate, Guar Hydroxypropyltrimonium Chloride, Cocamide Mipa, Cocos Nucifera Oil / Coconut Oil, Sodium Benzoate, Sodium Hydroxide, Paeonia Albiflora Root Extract, Paeonia Officinalis Flower Extract, Ethylhexyl Salicylate, Salicylic Acid, Fumaric Acid, Benzyl Alcohol, Benzyl Salicylate, Linalool, Alpha-Isomethyl Ionone, Carbomer, Geraniol, Citric Acid, Citronellol, Potassium Sorbate, Hexylene Glycol, Hexyl Cinnamal, Glycerin, Parfum / Fragrance, (F.I.L C241469/1)",L'Oréal Paris,France,4.2,52,89
https://www.ocado.com/products/pantene-hair-biology-full-vibrant-conditioner-488799011,NA,"Aqua, Stearyl Alcohol, Silicone Quaternium-26, Behentrimonium Chloride, Cetyl Alcohol, Isopropyl Alcohol, Parfum, Benzyl Alcohol, Disodium EDTA, Citric Acid, Linalool, Panthenol, Panthenyl Ethyl Ether, Histidine, Hexyl Cinnamal, Butylene Glycol, Hydroxycitronellal, Nelumbo Nucifera Flower Extract, Benzyl Benzoate, Sodium Hydroxide, Magnesium Nitrate, Oleic Acid, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone",Pantene,United Kingdom,4.2,25,92
https://www.ocado.com/products/colgate-total-advanced-deep-clean-toothpaste-308769011,Suitable for vegetarians,"Glycerin, Hydrated Silica, Aqua, Sodium Methyl Cocoyl Taurate, Arginine, Aroma, Zinc Oxide, Cellulose Gum, Cocamidopropyl Betaine, Benzyl Alcohol, Zinc Citrate, Tetrasodium Pyrophosphate, Sodium Saccharin, Xanthan Gum, Sodium Fluoride. Contains: Sodium Fluoride Total Fluoride content: 1450 ppm",Colgate,NA,3.6,64,72
https://www.ocado.com/products/oral-b-pro-expert-clean-mint-toothpaste-62656011,NA,"Glycerin, Hydrated Silica, Sodium Hexametaphosphate, Aqua, Sodium Gluconate, Sodium Lauryl Sulfate, Aroma, Carrageenan, Trisodium Phosphate, Stannous Fluoride, Sodium Saccharin, PVP, Stannous Chloride, Xanthan Gum, Cocamidopropyl Betaine, Cinnamal, Sodium Fluoride, Eugenol, Sodium Hydroxide, CI 74160, Sodium Benzoate",Oral-B,Germany,4.0,55,73
https://www.ocado.com/products/colgate-total-advanced-deep-clean-toothpaste-427011011,Suitable for vegetarians,"Glycerin, Hydrated Silica, Aqua, Sodium Lauryl Sulfate, Arginine, Aroma, Zinc Oxide, Cellulose Gum, Poloxamer 407, Zinc Citrate, Tetrasodium Pyrophosphate, Xanthan Gum, Benzyl Alcohol, Cocamidopropyl Betaine, Sodium Fluoride, Sodium Saccharin, Sucralose, CI 77891",Colgate,NA,4.4,37,92
https://www.ocado.com/products/sanex-biome-protect-moisturising-bath-foam-209791011,NA,"Aqua, Glycerin, Cocamidopropyl Betaine, Sodium C14-16 Olefin Sulfonate, Inulin, Sodium Benzoate, Lactic Acid, Parfum, Hydroxyacetophenone, Sodium Pyruvate, Sodium Gluconate, Sodium PCA, Polyquaternium-7, Sucrose Cocoate, Butyloctanol, Lecithin, Zinc Sulfate, Poloxamer 124",Sanex,EU,3.5,4,50
https://www.ocado.com/products/sanex-biome-protect-kids-head-to-toe-wash-55476011,NA,"Aqua, Cocamidopropyl Betaine, Sodium C14-16 Olefin Sulfonate, Inulin, Parfum, Sodium Benzoate, Lactic Acid, Hydroxyacetophenone, Polyquaternium-7, Sodium Pyruvate, Glycol Distearate, Sodium Gluconate, Sodium PCA, Poloxamer 124, Butyloctanol, Coco-Glucoside, Zinc Sulfate, Glyceryl Oleate, Glyceryl Stearate",Sanex,EU,4.4,18,89
