product_link,badge,ingredient,brand,country,rating,count,recommend
https://www.ocado.com/products/carbzone-lowcarb-protein-rich-bread-304465011,Suitable for vegetarians,"Water, Protein Mix (12%) (Wheat Protein, Pea Protein), Brown Linseed, Whole Rye Flour, Soy Meal (6%), Soy Flour (3%), Wheat Bran, Golden Linseed, Sunflower Seeds, Sesame, Yeast, Oat Fibre, Salt, Acidity Regulator (Sodium Diacetate), Enriched Protein Whey Powder (Milk)Dietary InformationLow Carb , High Protein, Vegetarian, Keto, LCHF, No Added Sugar.",Carbzone,Germany,4.1,63,80
https://www.ocado.com/products/volcano-coffee-works-balanced-all-day-ground-coffee-549577011,Suitable for vegetarians,NA,Volcano Coffee Works,Brazil,5.0,1,100
https://www.ocado.com/products/pukka-pies-minced-beef-onion-65324011,Suitable for freezing,NA,Pukka Pies,United Kingdom,2.9,34,56
https://www.ocado.com/products/nix-kix-raspberry-rhubarb-542755011,"Organic, Suitable for vegetarians","Carbonated Water, Fruit Juices from Concentrate 45% (Apple, Rhubarb 2%, Raspberry 2%,) Natural Flavourings, Citric Acid, Purple Carrot Extract, Chilli ExtractDietary InformationSuitable for Vegans",Nix & Kix,NA,4.4,33,94
https://www.ocado.com/products/cpress-organic-turmeric-gold-cold-pressed-booster-shot-521643011,"Organic, Suitable for vegetarians","Pear Juice (81%), Ginger Juice (10%), Lemon Juice (5%), Turmeric Juice (4%), Black Pepper (<1%)Allergen InformationMay Contain Celery, May Contain Nuts, May Contain SesameAllergy InformationManufactured in a facility that processes Celery, Nuts and Sesame.Dietary InformationSuitable for Vegans; Organic",CPRESS,NA,3.5,48,61
https://www.ocado.com/products/r-whites-lemonade-16300011,Suitable for vegetarians,"Carbonated Water, Sugar, Lemon Juice from Concentrate (2%), Acid (Citric Acid), Flavouring, Acidity Regulator (Sodium Citrate), Sweeteners (Saccharin, Acesulfame K, Aspartame), Preservative (Sodium Benzoate)",R Whites,UK,2.3,16,32
https://www.ocado.com/products/hovis-medium-sliced-granary-original-15926011,"Suitable for freezing, Suitable for vegetarians","Wheat Flour (with added Calcium, Iron, Niacin, Thiamin), Water, Original Granary Blend (Granary Malted Wheat Flakes (11%), Malted Barley Flour, Toasted Wheat, Toasted Rye), Wheat Protein, Yeast, Salt, Vinegar, Soya Flour, Granulated Sugar, Barley Flour, Caramelised Sugar, Emulsifier: E472e, Barley Fibre, Flour Treatment Agent: Ascorbic AcidAllergen InformationContains Barley, Contains Rye, Contains Soya, Contains WheatDietary InformationSuitable for Vegetarians; Suitable for Vegans; Kosher",Hovis,NA,3.4,52,60
https://www.ocado.com/products/lye-cross-farm-extra-mature-cheddar-68089011,Suitable for vegetarians,"Milk, Salt, Vegetarian Non-GMO Microbial Rennet, Starter CultureDietary InformationSuitable for Vegetarians",Lye Cross Farm,United Kingdom,3.6,30,67
https://www.ocado.com/products/m-s-reduced-fat-natural-cottage-cheese-505620011,Suitable for vegetarians,"Reduced Fat Cottage Cheese (Milk), SaltAllergen InformationContains MilkDietary InformationSuitable for Vegetarians",M&S,UK,2.7,25,44
https://www.ocado.com/products/florette-power-of-plants-spinach-baby-kale-mix-448787011,Suitable for vegetarians,"Mixed Salad Leaves and Vegetables in variable proportions: Baby Chard, Baby Kale (25%), Carrot, Spinach (25%)Dietary InformationSuitable for Vegetarians; Suitable for Vegans",Florette,"UK, EU",3.6,72,74
https://www.ocado.com/products/m-s-6-dinky-cornish-pasties-515420011,Suitable for freezing,"Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin), British Minced Beef (18%), Palm Oil, Potato (12%), Onion (8%), Swede (6%), Water, Cornflour, Rapeseed Oil, Pasteurised Egg, Salt, Roast Beef Stock (Water, Beef Bones, Beef), Garlic Purée, Thyme, Ground Black Pepper, Barley Malt Extract (contains Gluten), Mustard Flour, Yeast Extract, Ground Nutmeg, Ground SageAllergen InformationContains Barley, Contains Cereals Containing Gluten, Contains Eggs, Contains Mustard, Contains Wheat",M&S,UK,3.1,66,49
