title,weight,price,shelf_life,images,product_link,category_link
Ocado Shredded Shrooms,150g,£2.30,LIFE 2d+,https://www.ocado.com/productImages/570/570612011_0_150x150.jpg?identifier=c423f73ca91b6070cc38ce3e2318589b,https://www.ocado.com/products/ocado-shredded-shrooms-570612011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado British Whole Leg of Lamb,Typically: 2.25kg,£22.78,LIFE 4d+,https://www.ocado.com/productImages/589/58996011_0_150x150.jpg?identifier=47a8e8d31eaada9f4d9339626c77783a,https://www.ocado.com/products/ocado-british-whole-leg-of-lamb-58996011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Diced Sweet Potato,350g,£1.20,LIFE 3d+,https://www.ocado.com/productImages/572/572270011_0_150x150.jpg?identifier=f994b4bbfb3e83ec46deae4d7fa1edc5,https://www.ocado.com/products/ocado-diced-sweet-potato-572270011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Unearthed Nocellara Olives,215g,£2.73,LIFE 1w+,https://www.ocado.com/productImages/201/201374011_0_150x150.jpg?identifier=38f37ac63f6c711f03c73647df33faec,https://www.ocado.com/products/unearthed-nocellara-olives-201374011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
BerryWorld Strawberries ,227g,£3.15,LIFE 2d+,https://www.ocado.com/productImages/298/298701011_0_150x150.jpg?identifier=d7f55425381fd6f5b3181d70655f3a7d,https://www.ocado.com/products/berryworld-strawberries-298701011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
BerryWorld Blueberries,150g,£3,LIFE 3d+,https://www.ocado.com/productImages/298/298699011_0_150x150.jpg?identifier=6f292c1678592c671d4a47254f9561ed,https://www.ocado.com/products/berryworld-blueberries-298699011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Spiced Roasting Cauliflower,300g,£2,LIFE 2d,https://www.ocado.com/productImages/575/575943011_0_150x150.jpg?identifier=8d48f61ee58a4765b21ffedcbf591e1b,https://www.ocado.com/products/ocado-spiced-roasting-cauliflower-575943011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Jack & Bry Jackfruit Sausages,200g,£3.39,LIFE 4d+,https://www.ocado.com/productImages/501/501932011_0_150x150.jpg?identifier=62b3ad60909957e5566535030633c5b9,https://www.ocado.com/products/jack-bry-jackfruit-sausages-501932011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Fresh Pasta Co Potato Gnocchi,400g,£4,LIFE 7d+,https://www.ocado.com/productImages/584/58462011_0_150x150.jpg?identifier=6f4bd0932ee57a0d521b9f68b2061339,https://www.ocado.com/products/fresh-pasta-co-potato-gnocchi-58462011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado King Oyster Mushrooms,150g,£2,LIFE 2d+,https://www.ocado.com/productImages/570/570613011_0_150x150.jpg?identifier=758c61fc4abdff0f2a870bb5e3219d66,https://www.ocado.com/products/ocado-king-oyster-mushrooms-570613011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Higgidy Spinach & Pine Nut Pie,270g,£4,LIFE 4d+,https://www.ocado.com/productImages/497/49760011_0_150x150.jpg?identifier=1d3c2d1af1271a9ffb9798b0aec602da,https://www.ocado.com/products/higgidy-spinach-pine-nut-pie-49760011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Copella Cloudy Apple Juice ,1.35L,£3,LIFE 1w+,https://www.ocado.com/productImages/540/54046011_0_150x150.jpg?identifier=18fc2fbaa8024b68156251d61222b687,https://www.ocado.com/products/copella-cloudy-apple-juice-54046011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Ocado Mixed Vegetable Stir Fry,325g,£1.15,LIFE 2d,https://www.ocado.com/productImages/575/575942011_0_150x150.jpg?identifier=973be2dc88cfcff5aee369365616b2fe,https://www.ocado.com/products/ocado-mixed-vegetable-stir-fry-575942011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
MOJU Vitamin D Dosing bottle,500ml,£4.66,LIFE 1w+,https://www.ocado.com/productImages/531/531748011_0_150x150.jpg?identifier=42394228a6389b014abd2e4b4a109e75,https://www.ocado.com/products/moju-vitamin-d-dosing-bottle-531748011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Pasta Evangelists Beef Shin Ragu Lasagne ,350g,£5.60,LIFE 2d+,https://www.ocado.com/productImages/574/574481011_0_150x150.jpg?identifier=c1b045eecd7cc87795074f5bac520b7c,https://www.ocado.com/products/pasta-evangelists-beef-shin-ragu-lasagne-574481011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Shoryu Ramen Kit For Two,,£15,LIFE 1d+,https://www.ocado.com/productImages/572/572158011_0_150x150.jpg?identifier=d911194e5d1117cc3bef186dd1b99f5e,https://www.ocado.com/products/shoryu-ramen-kit-for-two-572158011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Shoryu Bun Kit For Two,,£15,LIFE 1d+,https://www.ocado.com/productImages/572/572157011_0_150x150.jpg?identifier=213053b2f7c381cb19b91ffbe94dccae,https://www.ocado.com/products/shoryu-bun-kit-for-two-572157011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
PizzaExpress Romana Margherita Speciale,350g,£3.66,LIFE 3d+,https://www.ocado.com/productImages/309/309711011_0_150x150.jpg?identifier=725d0f2c1077184330fa5363b020a4ba,https://www.ocado.com/products/pizzaexpress-romana-margherita-speciale-309711011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Pizza Express Romana Pollo American Pizza,375g,£3.66,LIFE 3d+,https://www.ocado.com/productImages/518/518372011_0_150x150.jpg?identifier=f0eab4d17eaa9a1b0152656340058f16,https://www.ocado.com/products/pizza-express-romana-pollo-american-pizza-518372011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
Charlie Bigham's Lasagne for 2,690g,£6.18,LIFE 3d+,https://www.ocado.com/productImages/419/41994011_0_150x150.jpg?identifier=b383ac9cdd28508379df3cde38b35579,https://www.ocado.com/products/charlie-bigham-s-lasagne-for-2-41994011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
BOL Creamy Thai Green Curry Veg Pot,345g,£2.40,LIFE 4d+,https://www.ocado.com/productImages/281/281004011_0_150x150.jpg?identifier=7b77d741e3ef06b71e7b3434f428c42d,https://www.ocado.com/products/bol-creamy-thai-green-curry-veg-pot-281004011,https://www.ocado.com/browse/fresh-chilled-food-20002?hideOOS=true
