product_link,reviews,product
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,"It is diificult to get continental style pancakes and this one is one of the few available.  They are also very convenient if you are in a rush.  Quickly heated in the microwave oven and there is no need to add a filling if you don't have time, as they taste fine just on their own",NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,I dont really understand why you wouldnt just make your own. These were a substitution for something else so we tried them but they had a funny smell and really werent very nice.,NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,"I bought these in store at the beginning of lockdown last year. I thought they were OK, but my husband hated them. I bought some again the other week, because I couldn't be bothered making my own. Served them with lashings of lemon juice and sugar. I thought I might be imagining that they were better than last time -- they seemed thinner, for a start -- but my husband actually enjoyed them, too. He even remembered how awful they were last time, and commented on the improvement. Still not as good as homemade, but really not bad at all.",NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,I bought these as a quick fix having forgotten pancake day. These were almost as good as homemade. They lost one  for using palm oil . ,NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,So sorry that I didn't check the ingredients first,NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,"Unlike some others, I found these just the right thickness and thought they tasted good. i heated them in the oven in accordance with t


Unlike some other reviewers, I found these really tasty and not too thick at all. I heated them in the oven wrapped in some foil
and they were soft and easily folded or rolled. I made a lovely syrupy fresh orange sauce and they were a very welcome desert.",NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,"It is diificult to get continental style pancakes and this one is one of the few available.  They are also very convenient if you are in a rush.  Quickly heated in the microwave oven and there is no need to add a filling if you don't have time, as they taste fine just on their own",NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,I dont really understand why you wouldnt just make your own. These were a substitution for something else so we tried them but they had a funny smell and really werent very nice.,NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,"I bought these in store at the beginning of lockdown last year. I thought they were OK, but my husband hated them. I bought some again the other week, because I couldn't be bothered making my own. Served them with lashings of lemon juice and sugar. I thought I might be imagining that they were better than last time -- they seemed thinner, for a start -- but my husband actually enjoyed them, too. He even remembered how awful they were last time, and commented on the improvement. Still not as good as homemade, but really not bad at all.",NA
https://www.ocado.com/products/m-s-6-sweet-pancakes-502451011,I bought these as a quick fix having forgotten pancake day. These were almost as good as homemade. They lost one  for using palm oil . ,NA
