store_name,subcategory,subcategory_link
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary,Tea & Coffee,https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/tea-coffee-1852
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary,Chocolates,https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/chocolates-1853
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary,Juices,https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/juices-2488
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary,Soft Drinks,https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/soft-drinks-2491
https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary,Water,https://www.elgrocer.com/store/al-douri-abu-baker/beverages-confectionary/water-2492
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,Almonds,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/almonds
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,Cashew,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/cashew
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,Hazelnut,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/hazelnut
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,Corn,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/corn
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,Mixed Nuts,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/mixed-nuts
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,Walnut,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/walnut
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,Pistachio,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/pistachio
https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914,Peanuts,https://www.elgrocer.com/store/al-douri-abu-baker/nuts-1914/peanuts
